Source,Fe,S,Co,Cu,Zn,As,Se,Mo,Ag,Sb,Pb,Stoichiometry
E,385400,473900,1.4,292,10.846,15000,6.4,1.43,4.42,28.1,179,984139.404
E,385400,473900,17.9,29,37,138,5.9,0.09401,2.4,40,500,998916.706
E,385400,473900,98,110,6.69,3450,6.6,8.6,0.17,91,509,995357.94
E,385400,473900,59,136,122,326,52,24.6,1.08,47,229,998643.32
E,385400,473900,53.7,640,439,930,30,20.7,52.5,242,2380,994728.1
E,385400,473900,334,178,19.8995,820,9.9,46,0.23678,132,730,997293.9637
E,385400,473900,411,198,16.5005,960,1.845,61,0.19632,121,770,997070.4582
E,385400,473900,7.3,0.61,0.8784,532,0.65,0.029231,0.28,6.5,67,999131.6308
E,385400,473900,0.428845,14.5,0.8784,610,3.2319,0.48,5.5,32,166,998974.8593
E,385400,473900,0.97,48,0.8784,408,1.0805,0.59,6.5,11.1,107,999192.7595
E,385400,473900,3.6,10.5,0.8784,640,0.96,0.43,4,16.2,95,999005.31
E,385400,473900,21.4,17.8,0.8784,821,1.15,11.6,2.18,27.9,222,998633.97
E,385400,473900,77.6,47.7,0.8784,540,0.7625,31.9,6.17,57.3,542,998429.5675
E,385400,473900,16.7,23.1,0.8784,1190,3.2,11.8,1.87,27,167,998312.33
E,385400,473900,326,287,0.8784,468,31.4,30.6,9.1,148,730,997579.9
E,385400,473900,85.5,142,0.8784,214,17.9,10.0705,7.15,77.5,324,998801.8795
E,385400,473900,111,325,0.8784,345,17,57.2,2.66,46.8,519,998161.34
E,385400,473900,7.2,65.7,0.8784,10620,2.62,1.29,0.143,27,840,988217.047
E,385400,473900,1.8,8.8,0.8784,4600,0.74905,0.32,0.08559,10.4,88.4,995062.4454
E,385400,473900,40,254,0.8784,266,10.4,13.6,4.6,78,520,998485.4
E,385400,473900,27.7,325,0.8784,384,6.8,13.1,11.2,156,950,997798.2
E,385400,473900,58.9,318,0.8784,245,7.7,12.6,6.3,76,438,998467.5
E,385400,473900,11.8,21.9,0.8784,2260,1.89,0.88,0.099185,15.9,128,997325.5308
E,385400,473900,0.6158,175,0.8784,10300,1.54605,0.226385,0.284805,26,112,989152.327
E,385400,473900,146,42,245,460,11.3,4.1,0.47964,0.93405,280,998371.1863
E,385400,473900,218,432,91,2500,1.6978,17.6,1.81,0.436325,700,995666.4559
E,385400,473900,149,73,42,367,1.51725,3.8,0.20111,0.39097,271,998752.0907
E,385400,473900,35,15,27,650,0.94485,1.63,0.125725,0.244135,133,998737.0553
E,385400,473900,13.1,99,63.865,18700,5.7265,11.77,0.54165,0.96175,940,979892.0351
E,385400,473900,15,45,49.389,3700,4.42,8.3,21.5,0.74435,570,995305.6467
E,385400,473900,22,99,58.405,4900,5.217,5.8,0.497315,0.881,160,994328.1997
E,385400,473900,416,261,17.4,1550,5.3,45.5,0.5,0.13133,880,996437.1687
E,385400,473900,115,59,19.3275,552,2.52415,0.15804,0.217345,0.357555,114,998627.4154
F,427100,510600,373,346,560,1660,22.1,76,3.21,69.1,220,996348.59
F,427100,510600,34.5,159,231,581,11.4,36.6,3.54,28.5,151,998442.46
F,427100,510600,56,75,670,358,117,11.5,0.43472,17.2,41,998384.8653
